,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
123,1408,I don't know what you mean.,I don't know what you mean.I don't know what you mean.,I don't know what you're talking about.,I do not know what you mean.,I don't know what you mean. | I don't know what you mean.,I don't know what you mean.,I don't know what you mean. | I don't know what you mean.,I don't know what you mean. | I don't know what you mean. | I don't know what you mean.,I don't know what I want to say. | I don't know what I want to say.,I don't know what you mean. | I don't understand what you mean.,I don't know what you mean. I don't know what you mean. I don't know what you mean.,I don't know what you mean. | I don't know what you mean.,I don't know what he means.,I don't know what you're talking about.
132,1417,I need to ask you a silly question.,I must ask you a stupid question.,I have to ask you a stupid question.,I must ask you a stupid question.,I have to ask you an idiotic question.,I have to ask you a stupid question.,I need to ask you a stupid question. | I need to ask you a stupid question. | I need to ask an awful question.,I have to ask you a stupid question.,i have a stupid question.,I have to ask you a stupid question.,I need to ask you a stupid question.,I need to ask you a question.,I have to ask you a stupid question. | I have to ask you a stupid question.,I need to ask you a stupid question.
136,1421,No one will know.,Nobody will know. | Nobody can know.,Nobody's going to find out.,No one should know. | No one should know.,No one will know. | No one will.,No one will know.,Nobody would know. | Nobody would know.,Nobody will know. | Nobody will know.,Nobody knows. | Nobody will know.,Nobody will know.,No one will know.,Nobody will know. | Nobody will know.,Nobody will know. | Nobody will know.,Nobody will know.
138,1423,It seems interesting to me.,It's interesting to me!,I think that's interesting.,That seems interesting to me.,That seems interesting to me! | That seems interesting to me!,That seems interesting to me!,I find that interesting.,I find it interesting! | I find it interesting.,it's funny!,It seems interesting to me!,I think this is interesting! | I think this is interesting.,I find it interesting!,He seems interesting to me.,That seems interesting to me.
140,1425,I like candlelight.,I love candlelight.,I love candlelight.,I like the light of the candle.,I like the light of candles. | I like the light of candles. | I like the light of candles.,I like candlelight. | I like candlelight.,I love candlelight.,I like candlelight. | I like candlelight.,I like the lights of the lousy.,I like the light of candles.,I love the light of candles. | I love the light of candles.,I like the light of the candles. | I like the light of the candles.,I love the light of the snow.,I love candlelight.
149,1434,I love you.,I love you.I love you.,I love you. | I love you. | I love you! | I love you! | I love you. | I love you.,I love you. | I love you. | I love you. | I love you.,I love you | I love you | I love you | I love you | I love you,I love you. | I love you! | I love you. | I love you. | I love you!,I love you. | I love you.,I love you. | I love you. | I love you. | I love you. | I love her. | I love you!,I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you. | I love you.,I love you. | I love you! | I love you.,I love you | I love you | I love you | I love you | I love you | I love you | I love you | I love you | I love you | I love you,I want you. | I love you. | I love her. | I love you! | I love you.,I love you. | I love you! | I love you.,I love you. | I love you. | I love you. | I love you. | I love you whiskey. | I love you whiskey. | I love you whiskey. | I love you whiskey. | I love you! | I love you. | I love you.
151,1436,I am curious.,I'm curious.,I'm curious.,I am curious.,I am curious.,I'm curious.,I'm curious. | I'm curious.,I'm curious. I'm curious.,I am curious. | I am curious.,I am very curious.,I'm curious. | I'm curious. | I want to know. | Interesting. | I'm curious.,I am curious. | I am curious. | I want to know.,I'm sad.,I'm curious. | I want to know. | I want to know. | I'm curious.
152,1437,Congratulations!,congratulations congratulations congratulations congratulations congratulations congratulations congratulations,Congratulations. | Well done! | Congratulations! | Chapeau! | Bravo! | Respect! | Goodbye!,Congratulations! | Congratulations! | Good luck!,Congratulations. | Bravo! | All my wishes! | All our congratulations! | All my congratulations! | Congratulations! | I congratulate you! | Chapeau!,Congratulations. | Congratulations!,Congratulations! | Congratulations! | Congratulations! | Congratulations! | Congratulations! | Congratulations! | Congratulations! | Congratulations. | Congratulations.,Congratulations! | Congratulations!,Congratulations. | Congratulations! | Congratulations! | Done!,Congratulations!,My congratulations. | Congratulations! | Congratulations! | Our congratulations!,Congratulations! Congratulations! Congratulations!,Congratulations! | The eye is clear. | Congratulations. | Happy birthday!,Hello! | Congratulations! | Welcome. | Congratulations! | Welcome. | Hello. | Congratulations!
153,1438,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I do not want to wait so long.,I do not want to wait so long.,I don't want to wait so long. | I don't want to wait so long. | I don't want to wait so long.,I don't want to wait that long. | I don't want to wait that long.,I don't want to wait that long. I don't want to wait that long.,I don't want to wait so long. | I don't want to wait so long.,I don't want to wait so long.,I don't want to wait so long. | I don't want to wait so long. | I don't want to wait so long. | I don't want to wait so long.,I don't want to wait so long. | I don't want to wait so long.,I don't want to wait that long.,I don't want to wait so long. | I don't want to wait so long.
154,1439,Why don't you come visit us?,Why don't you come to see us?,Why don't you come and visit us?,Why not go?,Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us?,Why don't you come to visit us?,Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us?,Why don't you come? | Why don't you come? | Why don't you come?,will you come home?,Why don't you visit us?,Why don't you come and visit us? | Why don't you come and visit us?,Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us? | Why don't you come to visit us?,Why don't you come to visit us?,What are you coming to? | Why don't you come to visit us? | Why don't you come to visit us? | Why don't you sit down? | Why don't you sit down?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry.,I am wrong about chemistry.,I hate chemistry.,I hate chemistry. | I can't suffer chemistry.,I hate chemistry. | I hate chemistry.,I hate chemistry. | I hate chemistry. | I hate chemistry.,i hate chemistry.,I hate chemistry. | I don't hate chemistry. | I don't suffer from chemistry.,I hate chemistry. | I can't hate chemistry.,I hate chemistry. | I hate chemistry.,I hate chemistry.,I don't like chemistry. | I hate chemistry.
165,1451,I have nothing better to do.,I have nothing better to do.,I have nothing better to do.,There is nothing better to do. | I have nothing better to do.,I have nothing better to do.,I have nothing better to do.,I have nothing better to do.,I have nothing better to do. I have nothing better to do.,There's nothing more to do than that.,I have nothing better to do.,I have nothing more to do.,I have nothing better to do.,I have nothing better to do.,I have nothing to do anymore.
166,1452,I can't explain it either.,I can't explain either.I can't explain either.,I can't explain either. | I can't explain either.,"I, too, cannot explain it.",Nor can I explain it.,I can't explain it either. | I can't explain it either.,I can't explain it either. | I can't explain it either.,I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it yet. I can't explain it yet.,I can't explain. | I can't explain either.,I can't explain it either. | I can't explain it either.,I can't explain it either. | I can't explain it either. | I can't explain it either.,I cannot explain it either. | I cannot explain it either. | I cannot explain it either. | I cannot explain it either.,I cannot explain that either.,I can't explain it either. | I can't explain it either.
