,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
1107,2429,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth. I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.
1115,2437,I talked to friends.,I talked to some friends.,I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends. I spoke to some friends.,I spoke to my friend.,I talked to my friends.
1122,2444,Tell me what happened.,Tell me what happened.,Tell me what happened. Tell me what happened. Tell me what happened.,Tell me what happened.,Tell me what happened.
1127,2449,It's more difficult than you think.,It's harder than you think. lt's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.
1130,2453,I don't agree with him.,I don't agree with him.,I disagree with him. I disagree with him.,I can't agree with him.,I don't agree with him.
1150,2474,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish. I'd rather be a bird than a fish. I'd rather be a bird than a fish.,I would rather be a bird than a fish. I would rather be a bird than a fish.,I'd rather be a bird than a fish.
1169,5944,Tell me about it!,Tell me about it!,Tell me about it!,Tell me!,Tell me about it!
1176,5999,I have to take medicine.,I need to take some medication.,I need to get some medicine.,I have to take my medicine.,I have to take my meds.
1182,6019,I work even on Sunday.,I even work on Sunday.,I work even on Sundays. I work also on Sundays. I work also on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays. I work even on Sundays.,"Even on Sunday, I work.",I even work on Sunday.
1184,6024,It happened a long time ago.,It happened a long time ago. lt happened a long time ago.,It was a long time ago. It happened a long time ago.,It happened a long time ago.,It happened a long time ago.
1185,6026,Where have you been?,Where have you been?,Where have you been? Where have you been? □ Where have you been? □ Where have you been? □ Where have you been? □ Where have you been? □ Where have you been? □ Where have you been?,Where have you been? Where have you been?,Where have you been?
1188,6034,It's been snowing all night.,It was snowing all night.,It snowed all night.,It's snowing all night.,It was snowing all night.
1198,6054,"He was born on July 28th, 1888.","He was born July 28th, 188th, his birth date: 28-07-1888.","He was born on July 28, 1888.","He was born on July 28, 188.","He was born on July 28, 1888."
1207,6130,She is mad at me.,She's mad at me.,She's mad at me. She's mad at me.,She's mad at me.,She's mad at me.
1249,9905,You can rely on him.,You can trust him.,You can trust him.,You can count on him. You can rely on him.,You can rely on him.
1260,13335,Did you meet her?,Have you met her?,Have you met her? Have you met her? Have you met her? Have you met her? Have you met her? Have you met her?,Did you see her?,Have you met her?
1333,15859,Can you ride a horse?,Can you ride a horse?,"Do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse, do you know how to ride a horse?",Can you ride a horse?,Do you know how to ride a horse?
1354,15882,Do you live here?,Do you live here? Do you live here? Do you live here?,Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here? • Do you live here?,Do you live here?,Do you live here?
1376,15904,Who are you waiting for?,Who are you waiting for?,Who are you waiting for? Who are you waiting for?,Who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for? who are you waiting for?,Who are you waiting for?
1384,15913,I'm proud of you.,I'm proud of you.,I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you.,I'm proud of you. I'm proud of you. I'm proud of you.,I'm proud of you.
1389,15918,You look bored.,You look bored.,You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored. You seem bored.,You look bored.,You look bored.
1460,15993,You work hard.,You're a hard worker.,"You work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard, you work hard.","You're a businessman, aren't you?",You work hard.
1477,16010,Are you writing a letter?,Are you writing a letter?,Are you writing a letter? Are you writing a letter? Are you writing a letter?,Are you writing a letter?,Are you writing a letter?
1487,16020,Can you drive a car?,Can you drive the car?,Do you know how to drive a car? Do you know how to drive a car?,Can you drive a car? &lt;i&gt;Can you drive a car? &lt;i&gt;Can you drive a car? &lt;i&gt; Can you drive a car? &lt;i&gt;Can you drive a car? &lt;i&gt;Can you drive a car?,Can you drive a car?
1490,16023,You should apologize.,You have to apologize. You have to apologize.,You should apologize. You should apologize. You should apologize.,You should apologize.,You should ask forgiveness.
1580,16117,Why were you absent yesterday?,Why were you missing yesterday?,"Why were you absent yesterday? "" Why were you absent yesterday? "" Why were you absent yesterday?",Why were you absent yesterday?,Why were you absent yesterday? Why were you absent yesterday? Why were you absent yesterday? Why were you absent yesterday? Why were you absent yesterday?
1584,16122,You must do your best.,You have to do your best.,You have to do your best. You have to do your best. You have to do your best.,You have to do your best.,You have to give it your best shot. You have to give it your best shot.
1591,16130,You look pale today.,You look pale today.,You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today. You look pale today.,You look pale today.,You look pale today.
1614,16159,You have to go.,You have to go. You have to go. You have to go.,You have to go. You have to go. You have to go. You have to go. You have to go. You have to go.,You have to go. You have to go.,You have to go.
1616,16161,You'd better not go.,It's better if you don't go.,You'd better not go. You'd better not go. You'd better not go.,You'd better not go.,You don't want to go.
1619,16164,Are you happy?,Are you happy? Are you happy? Are you happy?,Are you happy? are you happy? are you happy? are you happy? are you happy? are you happy? are you happy? are you happy?,Are you happy?,Are you happy?
1670,16216,You broke the rule.,You broke the law.,You broke the rule.,You broke the rules.,You broke the rule.
