,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
1080,2401,I thought it was true.,I thought it was true. ♪ I thought it was true. ♪ I thought it was true. ♪ I thought it was true.,I thought it was true. I thought it was true.,I thought it was true. I thought it was real.,I thought it was true.
1088,2409,I went to drink a beer with friends.,I went out for a beer with my friends.,I went to have a beer with the friends.,I went with my friends for a beer.,I went to drink a beer with my friends.
1091,2412,They quarreled.,They had a fight.,They argued.,They argued.,They quarreled.
1092,2413,I ate caviar.,I ate caviar. ♪ I ate caviar.,I ate caviar.,I ate caviar. I ate caviar.,I ate caviar.
1097,2418,How much is it?,- How much is it? - How much is it?,How much does it cost? How much does it cost?,How much is it?,How much does it cost?
1101,2423,Did you leave a tip?,Did you leave a tip for tea? ♪ Did you leave a tip for tea? ♪ Did you leave a tip for tea?,Did you tip?,Did you leave a tip?,Did you leave the tip?
1102,2424,Don't forget the ticket.,Don't forget the ticket. Don't forget the ticket. Don't forget the ticket.,Don't forget the card. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket.,Don't forget the ticket.,Don't forget your ticket.
1107,2429,I want you to tell me the truth.,I want you to tell me the truth. I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.,I want you to tell me the truth.
1115,2437,I talked to friends.,I talked to my friends.,I talked to friends.,I talked to my friends.,I was talking to my friends.
1122,2444,Tell me what happened.,Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened. ♪ Tell me what happened.,Tell me what happened. Tell me what happened. Tell me what happened. Tell me what happened.,Tell me what happened.,Tell me what happened.
1127,2449,It's more difficult than you think.,It's harder than you think. ♪ It's harder than you think. ♪ It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think.
1130,2453,I don't agree with him.,I don't agree with him. ♪ I don't agree with him. ♪ I don't agree with him.,I do not agree with him. I do not agree with him.,I don't agree with him.,I don't agree with him.
1150,2474,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.
1169,5944,Tell me about it!,"Don't say it, and don't say it.",Tell me about it!,Tell me about him!,Tell me about it!
1176,5999,I have to take medicine.,I have to take my meds.,I have to take a medicine. I have to take medicine. I have to take medicine.,I have to take medicine.,I have to take the medicine.
1182,6019,I work even on Sunday.,I work even on Sunday. ♪ I even work on Sunday.,I work until Sundays. I work even on Sundays. I work even on Sundays.,I work even on Sunday. I work even on Sunday.,I work even on Sunday.
1184,6024,It happened a long time ago.,It happened a long time ago. It happened a long time ago.,That happened a long time ago.,That happened a long time ago.,It happened a long time ago.
1185,6026,Where have you been?,Where have you been? Where have you been? Where have you been? Where have you been? Where have you been?,Where have you been so far?  Where have you been?  Where have you been?  Where have you been?,Where have you been? Where have you been? Where have you been?,Where have you been?
1188,6034,It's been snowing all night.,It snows all night.,It has snowed all night long. It has been snowing all night long. It has been snowing all night long.,It was snowing all night.,It's been snowing all night.
1198,6054,"He was born on July 28th, 1888.",He was born on 28 July 1888.,"He was born on July 28, 1888.  He was born on July 28, 1888.","He was born on July 28, 1888.","He was born on July 28, 1888."
1207,6130,She is mad at me.,She's mad at me. She's mad at me.,She's mad at me.,She's crazy about me.,She's mad at me.
1249,9905,You can rely on him.,You can rely on him. ♪ You can rely on him. ♪ You can rely on him. ♪ You can rely on him. ♪ You can rely on him.,You can trust him. You can count on him. He can be trusted. He can be counted on.,You can trust him.,You can rely on him.
1260,13335,Did you meet her?,Did you meet her? Did you meet her? Did you meet her?,Did you meet her?,Did you meet him?,Have you met her?
1333,15859,Can you ride a horse?,Do you know how to ride a horse? Do you know how to ride a horse? Do you know how to ride a horse? Do you know how to ride a horse?,Do you know how to ride a horse?,Do you know how to ride a horse?,Can you ride a horse?
1354,15882,Do you live here?,Do you live here? ♪ Do you live here? ♪ Do you live here? ♪ Do you live here? ♪ Do you live here?,Do you live here? Do you live here? Do you live here? Do you live here? Do you live here? Do you live here? Do you live here? Do you live here?,Do you live here?,Do you live here?
1376,15904,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?  Who are you waiting for?  Who are you waiting for?  Who are you waiting for?  Who are you waiting for?  Who are you waiting for?,Who are you waiting for?,And who are you waiting for?
1384,15913,I'm proud of you.,I'm proud of you. ♪ I'm proud of you. ♪ I'm proud of you. ♪ I'm proud of you. ♪ I'm proud of you.,I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you. I am proud of you.,I'm proud of you.,I'm proud of you..... I'm proud of you..... I'm proud of you.
1389,15918,You look bored.,You look bored. ♪ You look bored. ♪ You seem bored. ♪ You seem bored. ♪ You seem bored. ♪ You seem bored.,You look bored.,You look bored.,You seem to be bored.
1460,15993,You work hard.,You work hard. You work hard for two.,You work hard. You work hard.,You work too hard.,You work hard.
1477,16010,Are you writing a letter?,Are you writing a letter? Are you writing a letter now? Are you writing a letter?,Are you writing a letter?,Are you writing a letter?,Do you write a letter?
1487,16020,Can you drive a car?,Do you know how to drive a car?,Can you drive a car? Do you know how to drive? Do you know how to drive?,Can you drive a car?,Do you know how to drive a car?
1490,16023,You should apologize.,You should apologize. You should apologize. You should apologize. You should apologize.,You should apologize.,You should apologize. You should apologize.,You should apologize.
1580,16117,Why were you absent yesterday?,Why weren't you here yesterday? Why weren't you here yesterday? Why were you away yesterday? Why were you absent yesterday? Why were you absent yesterday? Why were you absent yesterday?,Why did you leave yesterday?,Why weren't you there yesterday?,Why weren't you here yesterday?
1584,16122,You must do your best.,You gotta do your best. You gotta do your best. You gotta do your best. You gotta do your best. You gotta do your best.,You must do your best. You must do your best.,You must do your best.,You have to do your best.
1591,16130,You look pale today.,You look pale today. You look pale today. You look pale today. You look pale today.,Today you look a little pale. Today you look a little pale. Today you look pale.,You look pale today.,You look pale today.
1614,16159,You have to go.,You have to go. You have to go. You have to go. You have to go. You have to go.,You have to go. You have to go.,You have to go.,You have to go.
1616,16161,You'd better not go.,You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go. You shouldn't go.,You better not go. You better not go.,You'd better not go.,You don't want to walk.
1619,16164,Are you happy?,Are you happy? Are you happy? Are you happy? Are you satisfied? Are you satisfied? Are you satisfied? Are you satisfied? Are you satisfied? Are you satisfied? Are you satisfied?,Are you happy? are you happy? are you happy? are you happy? are you happy? are you happy? are you happy? are you happy? are you happy?,Are you happy?,Are you happy?
1670,16216,You broke the rule.,You broke the rule. You broke the rule.,You broke the rule.,You broke the rule.,You broke the rule.
1678,16224,You look pale.,You look pale. You look pale. You look pale. You look pale. You look pale.,You look pale.,You look pale.,You look pale.
1699,16246,Will you stay at home?,Will you stay at home?,Are you going to stay home?,Will you stay home?,Will you stay at home?
1708,16255,What are you looking for?,What are you looking for? ♪ What are you looking for? ♪ What are you looking for?,What are you looking for?  What are you looking for?  What are you looking for?  What are you looking for?  What are you looking for?,What are you looking for?,What are you looking for?
1709,16256,What are you looking at?,What are you looking at? What are you looking at?,What are you looking at?,What are you looking at?,What are you looking at?
1711,16259,What do you intend to do?,What do you intend to do? What do you intend to do? What do you intend to do?,What are you trying to do?  What are you going to do?  What do you plan to do?  What do you plan to do?,What do you intend to do?,What do you intend to do?... What do you intend to do?.... What do you intend to do?
1714,16263,What do you want to be?,What do you want to be?,What do you want to be? What do you want to be?,What do you want to be?,What do you want to be?
