,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two percent of British women choose chocolate instead of sex.,Fifty-two percent of British women prefer chocolate over sex.,Fifty-two percent of British women prefer chocolate to sex.
1026,2344,Better late than never.,Better late than never. Better late than never! Better late than never.,Better late than never.,"It's better late than never, it's better late than never.",Better late than never. I'd rather late than never. I'd rather late than never! I'd rather be late than never! I'd rather be late than never. I'd better be late than not at all.
1027,2345,"Like father, like son.","Like father, like son..... So the father, so the son.... The apple falls not far from the tribe.",An apple doesn't fall far from a tree.,"Like father, like son, like father, like son!","Like the father, so the son. The apple doesn't fall far from the trunk. Like the old sings, so also the young chirping."
1030,2350,All cats are grey in the dark.,"In the dark, all cats are gray.",All cats are gray in the dark.,At night all cats are grey.,"At night, all cats are grey."
1032,2352,No news is good news.,No news is good news. No message is good message.,It's a good sign if you don't hear from them.,"No news, no good news, no news, no good news.","No news, good news, no news is good news."
1048,2368,He's a good person.,He's a good man.,He's a good person. He's a good person. He's a good person... He's a good person................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,"He's a good person, he's a good person.",He's a good person.
1050,2370,Enjoy your meal!,Enjoy your meal!,Bon appétit!,Enjoy your meal!,Enjoy!
1057,2378,Make yourself at home.,Make yourself at home.,Make yourself at home.,"Make yourself at home, make yourself at home.","Make yourself at home, make yourself at home, make yourself at home!"
1068,2389,I don't want it anymore.,I don't want it anymore.,I don't want it anymore.,I don't want any more.,I don't want this anymore!
1080,2401,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true.,I thought it was true. I thought it was true.
1088,2409,I went to drink a beer with friends.,I went out for a beer with friends.,"I went out for a beer with my friends, and I went out for a beer with my friends?",I went for a beer with friends.,I went out for a beer with friends.
1091,2412,They quarreled.,They were fighting.,They were fighting....they were fighting.,They had a fight.,They were fighting.
1092,2413,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.,I ate caviar.
1097,2418,How much is it?,How much is it? How much is it?,How much does it cost?,How much does it cost?What does it cost?How much does it cost?How much does it cost?How much does it cost?,How much does it cost? How much does it cost? How much does it cost?
1101,2423,Did you leave a tip?,Did you tip him?,Did you leave a tip?,Did you leave a tip?,Did you leave a tip?
1102,2424,Don't forget the ticket.,Don't forget the ticket.,Don't forget the flag.,"Don't forget the ticket, don't forget the ticket, don't forget the ticket.",Don't forget the ticket. Don't forget the ticket! Don't forget the ticket!
1107,2429,I want you to tell me the truth.,"I want you to tell me the truth, and I want you to tell me the truth, and I want you to tell me the truth.",I want you to tell me the truth.,I want you to tell me the truth.,I would like you to tell me the truth. I want you to tell me the truth. I want you to tell me the truth. I want you to tell me the truth. I want you to tell me the truth. I want you to tell me the truth.
1115,2437,I talked to friends.,I've been talking to friends.,I talked to my friends.,I talked to some friends.,I talked to friends.
1122,2444,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.,Tell me what happened.
1127,2449,It's more difficult than you think.,It's harder than you think. It's harder than you think. It's harder than you think.,It's harder than you think.,It's harder than you think.,It's harder than you think it is. It's harder than you think it is. It's harder than you think it is.
1130,2453,I don't agree with him.,I don't agree with him.,I do not agree with him.,I don't agree with him.,I don't agree with him.
1150,2474,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.,I'd rather be a bird than a fish.
1169,5944,Tell me about it!,Tell me about it!,Tell me about it!,Who do you say it to?,"Tell me about it, I already know!"
1176,5999,I have to take medicine.,I have to take medication.,I need to take some medicine.,I have to take some medicine.,I've got to take medication. I've got to take medicine.
1182,6019,I work even on Sunday.,I even work on Sundays.,I'm also working on Sunday.,I even work on Sundays.,I even work on Sundays.
1184,6024,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.,It happened a long time ago.
1185,6026,Where have you been?,Where have you been? Where have you been? Where have you been?,Where have you been?,Where have you been?Where have you been?Where have you been?Where have you been?,Where have you been? Where have you been? Where have you been? Where have you been? Where have you been? Where have you been? Where have you been?
1188,6034,It's been snowing all night.,It snowed all night.,It's been snowing all night.,He's been snowing all night.,It snowed all night.
1198,6054,"He was born on July 28th, 1888.",He was born on 28 July 1888.,"He was born on July 28,888.",He was born on 28 July 1888.,"He was born on July 28, 1888."
1207,6130,She is mad at me.,She's mad at me.,He's mad at me.,She's mad at me.,She's mad at me.
1249,9905,You can rely on him.,You can count on him.,You can trust him.,You can trust him.'You can trust him.'You can rely on him.'You can rely on him.'You can rely on him.'You can rely on him.'You can trust him.'You can trust him.'You can trust him.',"You can rely on him, you can count on him."
1260,13335,Did you meet her?,Have you met her?,Did you meet him?,Did you meet her?,Did you meet her?
1333,15859,Can you ride a horse?,Can you ride a horse? Can you ride a horse?,Do you know how to ride?,Do you know how to ride a horse?: Can you ride a horse?: Can you ride a horse?,Can you ride? Can you ride a horse? Can you ride a horse?
1354,15882,Do you live here?,Do you live here?,Do you live here?,Do you live here?: Do you live here?: Do you live here?: Do you live here?: Do you live here?,Do you live here? Do you live here? Do you live here? Do you live here? Do you live here? Do you live here?
1376,15904,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?,"Who are you waiting for?, who are you waiting for?, who are you waiting for?, who are you waiting for?",Who are you waiting for?
1384,15913,I'm proud of you.,I'm proud of you. I'm proud of you. I'm proud of you. I'm proud of you.,I'm proud of you.,I'm proud of you.,I'm proud of you. I'm proud of you. I'm proud of you.
1389,15918,You look bored.,You look bored.,You look bored.,You look bored.,"You look bored, you seem bored."
